iso_time	uptime_s	temp_c	arm_mhz	core_mhz	volts	load1	throttled_hex	throttled_flags	proc_cpu	proc_rss_kb
2026-08-16T11:43:14+02:00	0	44.8	1500	549	0.8955V	1.49	0x0	clean	24.2	322244
2026-08-16T11:44:14+02:00	60	44.3	700	499	0.8955V	1.41	0x0	clean	24.2	322244
2026-08-16T11:45:14+02:00	120	43.3	700	499	0.8955V	1.23	0x0	clean	24.2	322244
2026-08-16T11:46:14+02:00	180	43.8	700	499	0.8955V	1.15	0x0	clean	24.2	322244
2026-08-16T11:47:15+02:00	240	43.3	700	499	0.8955V	1.19	0x0	clean	24.2	322244
2026-08-16T11:48:15+02:00	300	42.8	700	499	0.8955V	1.48	0x0	clean	24.2	322244
2026-08-16T11:49:15+02:00	360	44.3	700	499	0.8955V	1.22	0x0	clean	24.2	322244
2026-08-16T11:50:15+02:00	420	43.8	700	499	0.8955V	1.42	0x0	clean	24.2	322244
2026-08-16T11:51:15+02:00	480	43.8	700	499	0.8955V	1.40	0x0	clean	24.2	322244
2026-08-16T11:52:15+02:00	540	43.3	700	499	0.8955V	1.44	0x0	clean	24.2	322244
2026-08-16T11:53:15+02:00	601	42.8	700	499	0.8955V	1.32	0x0	clean	24.2	322244
2026-08-16T11:54:15+02:00	661	42.8	700	499	0.8955V	1.52	0x0	clean	24.1	322244
2026-08-16T11:55:15+02:00	721	43.8	700	499	0.8955V	1.30	0x0	clean	24.1	322244
2026-08-16T11:56:15+02:00	781	43.8	700	499	0.8955V	1.31	0x0	clean	24.2	322244
2026-08-16T11:57:16+02:00	841	42.8	700	499	0.8955V	1.50	0x0	clean	24.2	322244
2026-08-16T11:58:16+02:00	901	43.8	700	267	0.8955V	1.43	0x0	clean	24.2	322244
2026-08-16T11:59:16+02:00	961	42.8	700	499	0.8955V	1.25	0x0	clean	24.2	322244
2026-08-16T12:00:16+02:00	1021	43.8	700	499	0.8955V	1.24	0x0	clean	24.1	322244
2026-08-16T12:01:16+02:00	1081	43.3	700	499	0.8955V	1.46	0x0	clean	24.2	322244
2026-08-16T12:02:16+02:00	1141	43.8	700	499	0.8955V	1.22	0x0	clean	24.2	322244
2026-08-16T12:03:16+02:00	1202	44.3	700	499	0.8955V	1.42	0x0	clean	24.2	322244
2026-08-16T12:04:16+02:00	1262	43.8	700	499	0.8955V	1.36	0x0	clean	24.2	322244
2026-08-16T12:05:16+02:00	1322	42.8	700	499	0.8955V	1.34	0x0	clean	24.2	322244
2026-08-16T12:06:16+02:00	1382	43.8	700	499	0.8955V	1.18	0x0	clean	24.2	322244
2026-08-16T12:07:17+02:00	1442	43.3	700	499	0.8955V	1.38	0x0	clean	24.2	322244
2026-08-16T12:08:17+02:00	1502	43.3	700	499	0.8955V	1.35	0x0	clean	24.2	322244
2026-08-16T12:09:17+02:00	1562	43.8	700	499	0.8955V	1.42	0x0	clean	24.2	322244
2026-08-16T12:10:17+02:00	1622	43.3	700	499	0.8955V	1.30	0x0	clean	24.1	322244
2026-08-16T12:11:17+02:00	1682	42.3	700	499	0.8955V	1.23	0x0	clean	24.1	322244
2026-08-16T12:12:17+02:00	1742	43.3	700	499	0.8955V	1.20	0x0	clean	24.1	322244
2026-08-16T12:13:17+02:00	1803	43.3	700	499	0.8955V	1.52	0x0	clean	24.1	322244
2026-08-16T12:14:17+02:00	1863	44.3	700	499	0.8955V	1.42	0x0	clean	24.1	322244
2026-08-16T12:15:17+02:00	1923	43.3	700	499	0.8955V	1.39	0x0	clean	24.1	322244
2026-08-16T12:16:17+02:00	1983	43.8	700	499	0.8955V	1.20	0x0	clean	24.1	322244
2026-08-16T12:17:18+02:00	2043	42.3	700	499	0.8955V	1.12	0x0	clean	24.1	322244
2026-08-16T12:18:18+02:00	2103	44.3	700	499	0.8955V	1.36	0x0	clean	24.1	322244
2026-08-16T12:19:18+02:00	2163	43.8	700	499	0.8955V	1.22	0x0	clean	24.1	322244
2026-08-16T12:20:18+02:00	2223	43.8	700	499	0.8955V	1.28	0x0	clean	24.1	322244
2026-08-16T12:21:18+02:00	2283	43.8	700	267	0.8955V	1.15	0x0	clean	24.1	322244
2026-08-16T12:22:18+02:00	2343	43.8	800	293	0.8955V	1.33	0x0	clean	24.1	322244
2026-08-16T12:23:18+02:00	2404	42.8	700	499	0.8955V	1.32	0x0	clean	24.1	322244
2026-08-16T12:24:18+02:00	2464	43.3	700	499	0.8955V	1.31	0x0	clean	24.1	322244
2026-08-16T12:25:18+02:00	2524	42.8	700	499	0.8955V	1.16	0x0	clean	24.1	322244
2026-08-16T12:26:18+02:00	2584	42.8	800	499	0.8955V	1.24	0x0	clean	24.1	322244
2026-08-16T12:27:19+02:00	2644	42.8	700	499	0.8955V	1.30	0x0	clean	24.1	322244
2026-08-16T12:28:19+02:00	2704	43.8	700	267	0.8955V	1.34	0x0	clean	24.1	322244
2026-08-16T12:29:19+02:00	2764	43.3	700	499	0.8955V	1.24	0x0	clean	24.1	322244
2026-08-16T12:30:19+02:00	2824	43.8	700	499	0.8955V	1.71	0x0	clean	24.1	322244
2026-08-16T12:31:19+02:00	2884	42.8	700	499	0.8955V	1.51	0x0	clean	24.1	322244
